country,region,year,timestamp,crop_type,temperature,rainfall,humidity,N,P,K,ph,crop_yield
India,West Bengal,2001,2001-01-01,Corn,1.55,447.06,80.473145665,,,,,1.737
China,North,2024,2024-01-01,Corn,3.23,2913.57,80.473145665,,,,,1.737
France,Ile-de-France,2001,2001-01-01,Wheat,21.11,1301.74,80.473145665,,,,,1.719
Canada,Prairies,2001,2001-01-01,Coffee,27.85,1154.36,57.648082825,103.0,29.0,30.0,6.798626238000001,3.89
India,Tamil Nadu,1998,1998-01-01,Sugarcane,2.19,1627.48,80.473145665,,,,,1.08
USA,Midwest,2019,2019-01-01,Coffee,17.19,975.13,57.648082825,103.0,29.0,30.0,6.798626238000001,2.18
Argentina,Northeast,1997,1997-01-01,Fruits,23.46,1816.41,80.473145665,,,,,1.611
Australia,New South Wales,2021,2021-01-01,Rice,25.63,786.17,82.18935719499999,80.0,47.0,40.0,6.363803588,3.27
India,Punjab,2012,2012-01-01,Wheat,32.08,1233.1,80.473145665,,,,,2.99
Nigeria,North West,2018,2018-01-01,Barley,21.23,475.32,80.473145665,,,,,0.765
Nigeria,South East,2006,2006-01-01,Sugarcane,-3.57,1402.97,80.473145665,,,,,2.67
France,Grand Est,1997,1997-01-01,Coffee,34.36,518.11,57.648082825,103.0,29.0,30.0,6.798626238000001,2.4
Russia,Northwestern,1993,1993-01-01,Vegetables,19.09,1505.86,80.473145665,,,,,4.29
USA,Northeast,2003,2003-01-01,Barley,14.7,2272.28,80.473145665,,,,,2.5
Nigeria,North West,1999,1999-01-01,Soybeans,12.16,328.52,80.473145665,,,,,3.681
France,Grand Est,1990,1990-01-01,Soybeans,15.23,1468.76,80.473145665,,,,,3.12
Brazil,North,2018,2018-01-01,Barley,20.83,2639.04,80.473145665,,,,,3.64
Nigeria,North West,2017,2017-01-01,Coffee,21.95,2480.33,57.648082825,103.0,29.0,30.0,6.798626238000001,1.37
Brazil,Northeast,1997,1997-01-01,Rice,17.45,1634.32,82.18935719499999,80.0,47.0,40.0,6.363803588,2.754
Russia,Siberian,2015,2015-01-01,Cotton,19.2,1086.11,80.01089273,117.0,46.0,19.0,6.8409568125,3.987
Australia,New South Wales,2000,2000-01-01,Rice,30.08,1641.99,82.18935719499999,80.0,47.0,40.0,6.363803588,3.096
India,West Bengal,2016,2016-01-01,Soybeans,14.0,1240.49,80.473145665,,,,,4.032000000000001
Argentina,Northwest,1996,1996-01-01,Coffee,21.59,666.95,57.648082825,103.0,29.0,30.0,6.798626238000001,1.584
Australia,Victoria,2010,2010-01-01,Coffee,20.85,2294.81,57.648082825,103.0,29.0,30.0,6.798626238000001,2.82
France,Nouvelle-Aquitaine,2002,2002-01-01,Vegetables,20.22,227.39,80.473145665,,,,,2.628
USA,South,1996,1996-01-01,Soybeans,27.73,1673.81,80.473145665,,,,,3.285
Canada,Quebec,2021,2021-01-01,Fruits,-0.57,2124.21,80.473145665,,,,,1.48
Brazil,Southeast,2011,2011-01-01,Corn,15.75,1433.31,80.473145665,,,,,2.08
Argentina,Northeast,1999,1999-01-01,Fruits,18.62,576.51,80.473145665,,,,,4.53
Australia,Victoria,1997,1997-01-01,Wheat,31.67,2364.58,80.473145665,,,,,3.33
